   1.0	    5.21E+00 	   5.21E+00   
   2.0	    3.70E+01  	   3.70E+01   
   3.0	    1.02E+02 	   1.15E+02   
   4.0	    2.23E+02 	   2.63E+02   
   5.0	    5.38E+02 	   5.63E+02   
   6.0	    1.44E+03 	   1.52E+03   
   7.0	    4.62E+03 	   4.76E+03   
   8.0	    1.01E+04 	   1.02E+04   
   9.0	    1.85E+04 	   1.79E+04   
   10.0	    3.00E+04 	   2.77E+04   
   11.0	    4.45E+04 	   3.97E+04   
   12.0	    6.21E+04 	   5.38E+04   
   13.0	    8.27E+04  	   7.00E+04   
   14.0	    1.06E+05 	   8.83E+04   
   15.0	    1.33E+05 	   1.09E+05   
   16.0	    1.62E+05 	   1.31E+05   
   18.0	    2.28E+05 	   1.81E+05   
   20.0	    3.05E+05 	   2.38E+05   
   30.0	    8.20E+05 	   6.11E+05  
